synth_heb,trans_heb,LLM-as-a-Judge,
"<question>מכונית נוסעת במנהרה עם פניות רבות. לאחר זמן מה, המכונית צריכה לנסוע דרך טבעת הדורשת סך הכל 4 פניות ימינה. לאחר הפנייה הראשונה, היא נוסעת 5 מטרים. לאחר הפנייה השנייה, היא נוסעת 8 מטרים. לאחר הפנייה השלישית, היא נוסעת קצת יותר רחוק ובפנייה הרביעית, היא יוצאת מיד מהמנהרה. אם המכונית נסעה בסך הכל 23 מטרים סביב הטבעת, כמה רחוק היא נסעה לאחר הפנייה השלישית?</question>
<answer>המכונית נסעה 5 מטרים לאחר הפנייה הראשונה ו-8 מטרים לאחר הפנייה השנייה.המרחק הכולל שנסעה המכונית לאחר הפנייה הראשונה והשנייה הוא 5 + 8 = <<5+8=13>>13 מטרים.המרחק הכולל שנסעה המכונית סביב הטבעת הוא 23 מטרים.לכן, המרחק שנסעה המכונית לאחר הפנייה השלישית הוא 23 - 13 = <<23-13=10>>10 מטרים.#### 10</answer>","<question>מכונית נוסעת במנהרה עם פניות רבות. לאחר זמן מה, המכונית חייבת לנסוע דרך טבעת הדורשת סך הכל 4 פניות ימינה. לאחר הפנייה הראשונה, היא נוסעת 5 מטרים. לאחר הפנייה השנייה, היא נוסעת 8 מטרים. לאחר הפנייה השלישית, היא נוסעת קצת יותר רחוק ובפנייה הרביעית, היא יוצאת מיד מהמנהרה. אם המכונית נסעה סך הכל 23 מטרים סביב הטבעת, כמה רחוק היא נסעה לאחר הפנייה השלישית?</question>
<answer>מהפרטים הנתונים, המכונית נסעה 5 מטרים בפנייה הראשונה + 8 מטרים לאחר הפנייה השנייה + 0 מטרים לאחר הפנייה הרביעית = <<5+8+0=13>>13 מטרים סביב הטבעת.
לכן היא ודאי נסעה 23 מטרים בסך הכל – 13 מטרים מחושבים = 10 מטרים לאחר הפנייה השלישית.
#### 10</answer>",,
"<question>כדי להכין פיצה, יחד עם מרכיבים אחרים, קימבר צריכה 10 כוסות מים, 16 כוסות קמח, וחצי מכמות כוסות הקמח בכפיות מלח. חשבו את הכמות הכוללת המשולבת של כוסות מים, קמח וכפיות מלח שהיא צריכה כדי להכין את הפיצה.</question>
<answer>קימבר צריכה חצי מכמות כוסות הקמח בכפיות מלח. כמות הקמח היא 16 כוסות.לכן, כמות המלח שהיא צריכה היא 16 * 0.5 = <<16*0.5=8>>8 כפיות.הכמות הכוללת המשולבת של מים, קמח ומלח היא 10 + 16 + 8 = <<10+16+8=34>>34.#### 34</answer>","<question>כדי להכין פיצה, יחד עם מרכיבים אחרים, קימבר צריכה 10 כוסות מים, 16 כוסות קמח, וחצי מכמות כוסות הקמח בכפיות מלח. חשבו את המספר הכולל המשולב של כוסות מים, קמח וכפיות מלח שהיא צריכה כדי להכין את הפיצה?</question>
<answer>כדי להכין את הפיצה, קימבר צריכה כמות מלח בכפיות השווה לחצי מכמות כוסות הקמח, כלומר היא צריכה 1/2*16 = <<16*1/2=8>>8 כפיות מלח. המספר הכולל של כוסות קמח וכפיות מלח שהיא צריכה הוא 8+16 = <<8+16=24>>24. היא צריכה גם 10 כוסות מים, מה שאומר שהמספר הכולל של כוסות מים, קמח וכפיות מלח שהיא צריכה הוא 24+10 = <<24+10=34>>34. #### 34</answer>",,
"<question>מר סם חילק סכום כסף מסוים בין שני בניו, קן וטוני. אם קן קיבל 1750$, וטוני קיבל פי שניים מקן, כמה כסף חולק בסך הכל?</question>
<answer>קן קיבל 1750$.טוני קיבל פי שניים מקן, כלומר 1750 * 2 = <<1750*2=3500>>3500$.הסכום הכולל שחולק הוא הסכום שקיבל קן בתוספת הסכום שקיבל טוני: 1750 + 3500 = <<1750+3500=5250>>5250$.#### 5250</answer>","<question>מר סם חילק סכום כסף מסוים בין שני בניו, קן וטוני. אם קן קיבל 1750$, וטוני קיבל פי שניים מקן, כמה כסף חולק?</question>
<answer>טוני קיבל פי שניים מ-1750$ שזה 2*1750$ = $<<2*1750=3500>>3500הסכום הכולל שחולק היה 1750$+3500$ = $<<1750+3500=5250>>5250#### 5250</answer>",,
"<question>מר סנצ'ז גילה ש-40% מתלמידי כיתה ה' שלו קיבלו ציון סופי נמוך מ-B. כמה מתלמידיו קיבלו ציון סופי B ומעלה אם יש לו 60 תלמידים בכיתה ה'?</question>
<answer>אם 40% מהתלמידים קיבלו ציון נמוך מ-B, אז אחוז התלמידים שקיבלו ציון B ומעלה הוא 100% - 40% = <<100-40=60>>60%.מספר התלמידים שקיבלו ציון B ומעלה הוא 60% מתוך 60 תלמידים.זהו 0.60 * 60 = <<0.60*60=36>>36 תלמידים.#### 36</answer>","<question>מר סנצ'ז גילה ש-40% מתלמידי כיתה ה' שלו קיבלו ציון סופי נמוך מ-B. כמה מתלמידיו קיבלו ציון סופי B ומעלה אם יש לו 60 תלמידים בכיתה ה'?</question>
<answer>מכיוון ש-40% מתלמידיו קיבלו ציון נמוך מ-B, 100% - 40% = 60% מתלמידי מר סנצ'ז קיבלו ציון B ומעלה.לכן, 60 × 60/100 = <<60*60/100=36>>36 תלמידים קיבלו ציון B ומעלה בציון הסופי שלהם.#### 36</answer>",,
"<question>ליסה, ג'ק וטומי הרוויחו 60$ משטיפת מכוניות כל השבוע. עם זאת, חצי מ-60$ הרוויחה ליסה. טומי הרוויח חצי ממה שליסה הרוויחה. כמה כסף יותר הרוויחה ליסה מטומי?</question>
<answer>ליסה הרוויחה 60 / 2 = $<<60/2=30>>30.
טומי הרוויח 30 / 2 = $<<30/2=15>>15.
ליסה הרוויחה יותר מטומי ב- 30 - 15 = $<<30-15=15>>15.
#### 15</answer>","<question>ליסה, ג'ק וטומי הרוויחו 60$ משטיפת מכוניות במשך כל השבוע. עם זאת, חצי מ-60$ הרוויחה ליסה. טומי הרוויח חצי ממה שליסה הרוויחה. כמה כסף יותר הרוויחה ליסה מטומי?</question>
<answer>ליסה הרוויחה 60$ * 1/2 = $<<60*1/2=30>>30.טומי הרוויח 30$ * 1/2 = $<<30*1/2=15>>15.ליסה הרוויחה 30$ - 15$ = $<<30-15=15>>15 יותר מטומי.#### 15</answer>",,
"<question>חמישה חברים אוכלים ברשת מזון מהיר ומזמינים את הדברים הבאים: 5 המבורגרים שעולים 3$ כל אחד; 4 מנות צ'יפס שעולות 1.20$ כל אחת; 5 כוסות שתייה קלה שעולות 0.5$ כל אחת; ומגש אחד של ספגטי שעולה 2.7$. כמה ישלם כל אחד מהם אם הם יחלקו את החשבון שווה בשווה?</question>
<answer>עלות ההמבורגרים היא 5 * 3 = $<<5*3=15>>15.
עלות הצ'יפס היא 4 * 1.20 = $<<4*1.20=4.8>>4.8.
עלות השתייה הקלה היא 5 * 0.5 = $<<5*0.5=2.5>>2.5.
עלות הספגטי היא $2.7.
העלות הכוללת של ההזמנה היא 15 + 4.8 + 2.5 + 2.7 = $<<15+4.8+2.5+2.7=25>>25.
מכיוון שיש 5 חברים והם מחלקים את החשבון שווה בשווה, כל אחד מהם ישלם 25 / 5 = $<<25/5=5>>5.
#### 5</answer>","<question>חמישה חברים אוכלים ברשת מזון מהיר ומזמינים את הדברים הבאים: 5 המבורגרים שעולים 3$ כל אחד; 4 מנות צ'יפס שעולות 1.20$ כל אחת; 5 כוסות שתייה קלה שעולות 0.5$ כל אחת; וצלחת ספגטי אחת שעולה 2.7$. כמה ישלם כל אחד מהם אם יחלקו את החשבון שווה בשווה?</question>
<answer>העלות של 5 המבורגרים היא 3$ × 5 = $<<3*5=15>>15.העלות של 4 מנות צ'יפס היא 1.20$ × 4 = $<<1.20*4=4.80>>4.80.העלות של 5 כוסות שתייה קלה היא 0.5$ × 5 = $<<0.5*5=2.50>>2.50.אז החשבון הכולל שלהם הוא 15$ + 4.80$ + 2.50$ + 2.7$ = $<<15+4.8+2.5+2.7=25>>25.לכן, כל אחד מחמשת החברים ישלם 25$/5 = $<<25/5=5>>5.#### 5</answer>",,
"<question>ארטמיס מכינה תה למסיבה. היא יודעת שאמא שלה שותה כוס תה של 8 אונקיות ומשתמשת באונקיית תה אחת. היא תשתמש באותו יחס למסיבה. במסיבה יש 12 אנשים וכל אחד מהם רוצה כוס תה של 6 אונקיות. כמה אונקיות תה היא צריכה?</question>
<answer>היחס של תה (מרכיב) לכוס תה (נוזל) הוא 1 אונקיה לכל 8 אונקיות.במסיבה יש 12 אנשים וכל אחד רוצה כוס של 6 אונקיות.הכמות הכוללת של תה נוזלי שצריך להכין היא 12 * 6 = <<12*6=72>>72 אונקיות.כדי למצוא כמה אונקיות תה (המרכיב) ארטמיס צריכה, נשתמש ביחס: 72 / 8 = <<72/8=9>>9 אונקיות.#### 9</answer>","<question>ארטמיס מכינה תה למסיבה. היא יודעת שאמא שלה שותה כוס תה של 8 אונקיות ומשתמשת באונקיית תה אחת. היא תשתמש באותו יחס למסיבה. במסיבה יש 12 אנשים וכל אחד מהם רוצה כוס תה של 6 אונקיות. כמה אונקיות תה היא צריכה?</question>
<answer>היא מכינה 72 אונקיות מים כי 12 × 6 = <<12*6=72>>72
היא צריכה 9 אונקיות תה כי 72 / 8 = <<72/8=9>>9
#### 9</answer>",,
"<question>אנה יוצאת לאסוף ממתקים בשכונה שבה היא מקבלת 14 יחידות ממתק לבית. אחיה בילי יוצא לאסוף ממתקים בשכונה סמוכה שבה הוא מקבל 11 יחידות ממתק לבית. אם בשכונה הראשונה יש 60 בתים ובשכונה השנייה יש 75 בתים, כמה יחידות ממתק נוספות אנה מקבלת?</question>
<answer>אנה מקבלת 14 יחידות ממתק לבית ויש 60 בתים בשכונה שלה. סה""כ ממתקים שאנה מקבלת: 14 * 60 = <<14*60=840>>840.בילי מקבל 11 יחידות ממתק לבית ויש 75 בתים בשכונה שלו. סה""כ ממתקים שבילי מקבל: 11 * 75 = <<11*75=825>>825.כדי למצוא כמה יחידות ממתק נוספות אנה מקבלת, נחסיר את הסכום של בילי מהסכום של אנה. ההפרש: 840 - 825 = <<840-825=15>>15.#### 15</answer>","<question>אנה הולכת לאסוף ממתקים בשכונה שבה היא מקבלת 14 ממתקים לבית. אחיה בילי הולך לאסוף ממתקים בשכונה סמוכה שבה הוא מקבל 11 ממתקים לבית. אם בשכונה הראשונה יש 60 בתים ובשכונה השנייה יש 75 בתים, כמה ממתקים יותר אנה מקבלת?</question>
<answer>ראשית, מצאו את המספר הכולל של הממתקים שאנה מקבלת: 14 ממתקים/בית * 60 בתים = 840 ממתקים
לאחר מכן, מצאו את המספר הכולל של הממתקים שבילי מקבל: 11 ממתקים/בית * 75 בתים = <<11*75=825>>825 ממתקים
לאחר מכן, הפחיתו את מספר הממתקים שבילי מקבל ממספר הממתקים שאנה מקבלת כדי למצוא את ההפרש: 840 ממתקים - 825 ממתקים = <<840-825=15>>15 ממתקים
#### 15</answer>",,
"<question>כרטיס כניסה לקונצרט עולה 40$. מר בנסון קנה 12 כרטיסים וקיבל הנחה של 5% על כל כרטיס שנרכש מעל 10 כרטיסים. כמה שילם מר בנסון בסך הכל?</question>
<answer>מר בנסון קנה 10 כרטיסים במחיר מלא, כלומר 10 * 40$ = <<10*40=400>>400$. הוא קנה 12 כרטיסים בסך הכל, אז 12 - 10 = <<12-10=2>>2 כרטיסים קיבלו הנחה. ההנחה היא 5% מ-40$, כלומר 0.05 * 40$ = <<0.05*40=2>>2$. לכן, כל כרטיס מוזל עלה 40$ - 2$ = <<40-2=38>>38$. על שני הכרטיסים המוזלים הוא שילם 2 * 38$ = <<2*38=76>>76$. בסך הכל, מר בנסון שילם 400$ + 76$ = <<400+76=476>>476$.#### 476</answer>","<question>כרטיס לקונצרט עולה 40$. מר בנסון קנה 12 כרטיסים וקיבל הנחה של 5% על כל כרטיס שנרכש מעל 10. כמה שילם מר בנסון בסך הכל?</question>
<answer>מר בנסון קיבל הנחה של 5% על כל אחד מ-12 - 10 = <<12-10=2>>2 הכרטיסים.לכן, שני הכרטיסים הללו קיבלו הנחה של 40$ x 5/100 = $<<40*5/100=2>>2 כל אחד.מכאן שכל כרטיס עלה 40$ - 2$ = $<<40-2=38>>38 כל אחד.לכן, שני כרטיסים מוזלים מסתכמים ב-38$ x 2 = $<<38*2=76>>76.ועשרת הכרטיסים האחרים מסתכמים ב-40$ x 10 = $<<40*10=400>>400.לכן, מר בנסון שילם בסך הכל 400$ + 76$ = $<<400+76=476>>476.#### 476</answer>",,
"<question>רחל ושרה רוצות להשתתף בתחרות יופי ודוגמנות. שתיהן רוצות לקנות זוגות נעליים ושמלות חדשות. שרה קונה זוג נעליים שעולה 50$ ושמלה שעולה 200$. כמה כסף רחל צריכה לתקצב אם היא רוצה להוציא פי שניים ממה ששרה הוציאה על זוג הנעליים והשמלה?</question>
<answer>שרה הוציאה בסך הכל 50 + 200 = $<<50+200=250>>250 על הנעליים והשמלה.רחל רוצה להוציא פי שניים ממה ששרה הוציאה, אז היא צריכה לתקצב 250 * 2 = $<<250*2=500>>500.#### 500</answer>","<question>רחל ושרה רוצות להשתתף בתחרות יופי ודוגמנות. שתיהן רוצות לקנות זוגות נעליים ושמלות חדשות. שרה קונה זוג נעליים שעולה 50$ ושמלה שעולה 200$. כמה רחל צריכה לתקצב אם היא רוצה להוציא פי שניים ממה ששרה הוציאה על זוג הנעליים והשמלה?</question>
<answer>העלות שרחל צריכה לתקצב עבור זוג הנעליים שלה היא 50$ * 2 = $<<50*2=100>>100.
העלות שרחל צריכה לתקצב עבור השמלה שלה היא 200$ * 2 = $<<200*2=400>>400.
הסכום הכולל שרחל צריכה לתקצב הוא 100$ + 400$ = $<<100+400=500>>500.
#### 500</answer>",,
"<question>משפחה של 12 קופים אספה 10 ערימות של בננות. ל-6 ערימות היו 9 ידיים, כשבכל יד היו 14 בננות, בעוד שלערימות הנותרות היו 12 ידיים, כשבכל יד היו 9 בננות. כמה בננות יקבל כל קוף אם יחלקו את הבננות שווה בשווה ביניהם?</question>
<answer>בכל אחת מ-6 הערימות הראשונות היו 9 אשכולות, ובכל אשכול 14 בננות. לכן, בכל ערימה כזו היו 9 * 14 = <<9*14=126>>126 בננות.ב-6 הערימות יחד היו 6 * 126 = <<6*126=756>>756 בננות.מספר הערימות הנותרות הוא 10 - 6 = <<10-6=4>>4 ערימות.בכל אחת מ-4 הערימות הנותרות היו 12 אשכולות, ובכל אשכול 9 בננות. לכן, בכל ערימה כזו היו 12 * 9 = <<12*9=108>>108 בננות.ב-4 הערימות הנותרות יחד היו 4 * 108 = <<4*108=432>>432 בננות.המספר הכולל של הבננות שאספו הקופים הוא 756 + 432 = <<756+432=1188>>1188 בננות.אם 12 קופים יחלקו את 1188 הבננות שווה בשווה, כל קוף יקבל 1188 / 12 = <<1188/12=99>>99 בננות.#### 99</answer>","<question>משפחה של 12 קופים אספה 10 ערימות של בננות. ל-6 ערימות היו 9 אשכולות, כשבכל אשכול היו 14 בננות, בעוד שלערימות הנותרות היו 12 אשכולות, כשבכל אשכול היו 9 בננות. כמה בננות יקבל כל קוף אם יחלקו את הבננות שווה בשווה ביניהם?</question>
<answer>6 האשכולות הראשונים הכילו 6 × 9 × 14 = <<6*9*14=756>>756 בננות.נותרו 10 - 6 = <<10-6=4>>4 אשכולות.4 האשכולות הנותרים הכילו 4 × 12 × 9 = <<4*12*9=432>>432 בננות.בסך הכל, היו 756 + 432 = <<756+432=1188>>1188 בננות.כל קוף יקבל 1188/12 = <<1188/12=99>>99 בננות.#### 99</answer>",,
"<question>רעידת אדמה גרמה לקריסת ארבעה בניינים. מומחים חזו שכל רעידת אדמה עוקבת תגרום לקריסת מספר כפול של בניינים מרעידת האדמה הקודמת, מכיוון שכל אחת מהן תערער את היסודות. לאחר שלוש רעידות אדמה נוספות, כמה בניינים קרסו בסך הכל, כולל אלה מרעידת האדמה הראשונה?</question>
<answer>ברעידת האדמה הראשונה קרסו 4 בניינים.
ברעידת האדמה השנייה (הראשונה מבין ה'נוספות') קרסו 4 * 2 = <<4*2=8>>8 בניינים.
ברעידת האדמה השלישית (השנייה מבין ה'נוספות') קרסו 8 * 2 = <<8*2=16>>16 בניינים.
ברעידת האדמה הרביעית (השלישית מבין ה'נוספות') קרסו 16 * 2 = <<16*2=32>>32 בניינים.
מספר הבניינים הכולל שקרסו הוא 4 + 8 + 16 + 32 = <<4+8+16+32=60>>60 בניינים.
#### 60</answer>","<question>רעידת אדמה גרמה לקריסת ארבעה בניינים. מומחים חזו שכל רעידת אדמה הבאה תגרום לקריסת מספר כפול של בניינים מהקודמת, מכיוון שכל אחת מהן תהפוך את היסודות לפחות יציבים. לאחר שלוש רעידות אדמה נוספות, כמה בניינים קרסו בסך הכל, כולל אלה מהרעידה הראשונה?</question>
<answer>רעידת האדמה השנייה גרמה לקריסת 2 * 4 = <<2*4=8>>8 בניינים.רעידת האדמה השלישית גרמה לקריסת 2 * 8 = <<2*8=16>>16 בניינים.רעידת האדמה הרביעית גרמה לקריסת 16 * 2 = <<16*2=32>>32 בניינים.כולל רעידת האדמה הראשונה, רעידות האדמה גרמו לקריסת 4 + 8 + 16 + 32 = <<4+8+16+32=60>>60 בניינים.#### 60</answer>",,
"<question>ג'יימס הוא סטודנט בשנה א' באוניברסיטה בשיקגו. יש לו תקציב של 1000$ לסמסטר. הוא מוציא 30% מכספו על אוכל, 15% על מגורים, 25% על בידור, ואת השאר על חומרי לימוד. כמה כסף הוא מוציא על חומרי לימוד?</question>
<answer>האחוז הכולל שג'יימס מוציא על אוכל, מגורים ובידור הוא 30% + 15% + 25% = <<30+15+25=70>>70%. מכיוון ששאר הכסף מושקע בחומרי לימוד, האחוז שהוא מוציא על חומרי לימוד הוא 100% - 70% = <<100-70=30>>30%. התקציב הכולל שלו הוא 1000$, אז הוא מוציא 30% מ-1000$ על חומרי לימוד. 0.30 * 1000 = <<0.30*1000=300>>300$.#### 300</answer>","<question>ג'יימס הוא סטודנט שנה א' באוניברסיטה בשיקגו. יש לו תקציב של 1000$ לסמסטר. הוא מוציא 30% מכספו על אוכל, 15% על מגורים, 25% על בילויים, ואת השאר על חומרי לימוד. כמה כסף הוא מוציא על חומרי לימוד?</question>
<answer>מגורים הם 15% * 1000$ = $<<15*.01*1000=150>>150אוכל הוא 30% * 1000$ = $<<30*.01*1000=300>>300בילויים הם 25% * 1000$ = $<<25*.01*1000=250>>250חומרי לימוד הם אפוא 1000$ - (150$ + 300$ + 250$) = 300$#### 300</answer>",,
"<question>זו מסיבת יום ההולדת של אווה. הוריה קנו פיניאטת חד-קרן ב-13$ ומילאו אותה בכל הממתקים האהובים עליה. הם קנו 4 שקיות ריס'ס ב-9$ לשקית, 3 שקיות סניקרס ב-5$ לשקית, ו-5 שקיות סקיטלס ב-7$ לשקית. כמה עלו פיניאטת החד-קרן והממתקים יחד?</question>
<answer>עלות שקיות ריס'ס: 4 שקיות * 9$ לשקית = <<4*9=36>>36$.עלות שקיות סניקרס: 3 שקיות * 5$ לשקית = <<3*5=15>>15$.עלות שקיות סקיטלס: 5 שקיות * 7$ לשקית = <<5*7=35>>35$.העלות הכוללת של הממתקים: 36$ + 15$ + 35$ = <<36+15+35=86>>86$.העלות הכוללת של פיניאטת החד-קרן והממתקים יחד: 13$ + 86$ = <<13+86=99>>99$.#### 99</answer>","<question>זו מסיבת יום ההולדת של אווה. הוריה קנו פיניאטה חד קרן ב-13$ ומילאו אותה בכל הממתקים האהובים עליה. הם קנו 4 שקיות של ריס'ס ב-9$ לשקית, 3 שקיות של סניקרס ב-5$ לשקית, ו-5 שקיות של סקיטלס ב-7$ לשקית. כמה עלו פיניאטת חד הקרן והממתקים יחד?</question>
<answer>ארבע שקיות הריס'ס עלו 9$ × 4 = $<<9*4=36>>36.שלוש שקיות הסניקרס עלו 5$ × 3 = $<<5*3=15>>15.חמש שקיות הסקיטלס עלו 7$ × 5 = $<<7*5=35>>35.לכן, פיניאטת חד הקרן והממתקים עלו 13$ + 36$ + 15$ + 35$ = $<<13+36+15+35=99>>99.#### 99</answer>",,
"<question>קרוליין מתאמנת בפסנתר 20 דקות ביום ובכינור פי שלושה זמן מזה. אם היא מתאמנת שישה ימים בשבוע, כמה דקות היא מבלה באימון בחודש שיש בו ארבעה שבועות?</question>
<answer>קרוליין מתאמנת בכינור 20 * 3 = <<20*3=60>>60 דקות ביום.לכן, היא מתאמנת בסך הכל 20 + 60 = <<20+60=80>>80 דקות ביום.היא מתאמנת 80 * 6 = <<80*6=480>>480 דקות בשבוע.בחודש שיש בו ארבעה שבועות, היא מתאמנת 480 * 4 = <<480*4=1920>>1920 דקות.#### 1920</answer>","<question>קרוליין מתאמנת בפסנתר 20 דקות ביום ובכינור פי שלושה זמן מזה. אם היא מתאמנת שישה ימים בשבוע, כמה דקות היא מבלה באימון בחודש שיש בו ארבעה שבועות?</question>
<answer>תחילה מצאו את זמן האימון הכולל של קרוליין בכינור על ידי הכפלת זמן האימון שלה בפסנתר פי שלושה: 20 דקות/יום * 3 = <<20*3=60>>60 דקות/יוםלאחר מכן מצאו את סך הזמן שהיא מבלה באימון בכל יום: 60 דקות/יום + 20 דקות/יום = <<60+20=80>>80 דקות/יוםלאחר מכן מצאו את סך הזמן שהיא מבלה באימון בכל שבוע: 80 דקות/יום * 6 ימים/שבוע = <<80*6=480>>480 דקות/שבועלאחר מכן מצאו את סך הזמן שהיא מבלה באימון בכל חודש: 480 דקות/שבוע * 4 שבועות/חודש = <<480*4=1920>>1920 דקות/חודש#### 1920</answer>",,
"<question>הקובץ, בגודל 90 מגה-בייט, מוריד בקצב של 5 מגה-בייט לשנייה עבור 60 המגה-בייט הראשונים שלו, ולאחר מכן 10 מגה-בייט לשנייה. כמה זמן, בשניות, לוקח לו להוריד את כולו?</question>
<answer>עבור 60 המגה-בייט הראשונים, הקובץ מוריד בקצב של 5 מגה-בייט לשנייה. לכן, הזמן שלוקח להוריד את החלק הזה הוא 60 / 5 = <<60/5=12>>12 שניות.גודל הקובץ הכולל הוא 90 מגה-בייט. לאחר הורדת 60 המגה-בייט הראשונים, נותרו 90 - 60 = <<90-60=30>>30 מגה-בייט להורדה.החלק הנותר של הקובץ (30 מגה-בייט) מוריד בקצב של 10 מגה-בייט לשנייה. לכן, הזמן שלוקח להוריד את החלק הזה הוא 30 / 10 = <<30/10=3>>3 שניות.הזמן הכולל שלוקח להוריד את הקובץ כולו הוא סכום הזמנים של שני החלקים: 12 + 3 = <<12+3=15>>15 שניות.#### 15</answer>","<question>הקובץ, בגודל 90 מגה-בייט, יורד בקצב של 5 מגה-בייט לשנייה עבור 60 המגה-בייט הראשונים שלו, ולאחר מכן 10 מגה-בייט לשנייה. כמה זמן, בשניות, לוקח לו לרדת במלואו?</question>
<answer>60 המגה-בייט הראשונים לוקחים 60/5=<<60/5=12>>12 שניות. נותרו 90-60=<<90-60=30>>30 מגה-בייט. 30 המגה-בייט הנותרים לוקחים 30/10=<<30/10=3>>3 שניות. ו-12+3=<<12+3=15>>15 שניות.#### 15</answer>",,
"<question>סם שינן שש ספרות נוספות של פאי יותר מקרלוס. מינה שיננה פי שישה ספרות של פאי ממה שקרלוס שינן. אם מינה שיננה 24 ספרות של פאי, כמה ספרות שינן סם?</question>
<answer>מינה שיננה 24 ספרות של פאי. מינה שיננה פי שישה ספרות של פאי ממה שקרלוס שינן. לכן, קרלוס שינן 24 / 6 = <<24/6=4>>4 ספרות. סם שינן שש ספרות נוספות של פאי יותר מקרלוס. לכן, סם שינן 4 + 6 = <<4+6=10>>10 ספרות.#### 10</answer>","<question>סם שינן שש ספרות נוספות של פאי מאשר קרלוס שינן. מינה שיננה פי שישה ספרות של פאי ממה שקרלוס שינן. אם מינה שיננה 24 ספרות של פאי, כמה ספרות שינן סם?</question>
<answer>קרלוס שינן 24/6=<<24/6=4>>4 ספרות של פאי.סם שינן 4+6=10 ספרות של פאי.#### 10</answer>",,
"<question>בטיול בית ספר לחוף הים, אלן וחבריו אספו צדפים. אלן אסף פי ארבעה צדפים מבן. בן התחיל מאוחר ואסף רק שליש ממה שלורי אספה. אם לורי אספה 36 צדפים, כמה צדפים אסף אלן?</question>
<answer>לורי אספה 36 צדפים.בן אסף שליש ממה שלורי אספה, כלומר בן אסף 36 / 3 = <<36/3=12>>12 צדפים.אלן אסף פי ארבעה צדפים מבן, כלומר אלן אסף 12 * 4 = <<12*4=48>>48 צדפים.#### 48</answer>","<question>בטיול בית ספר לחוף הים, אלן וחבריו אספו צדפים. אלן אסף פי ארבעה צדפים מבן. בן התחיל מאוחר ואסף רק שליש ממה שלורי אספה. אם לורי אספה 36 צדפים, כמה צדפים אסף אלן?</question>
<answer>בן אסף 36/3=<<36/3=12>>12 צדפים
אלן אסף 12*4=<<12*4=48>>48 צדפים
#### 48</answer>",,
"<question>ג'רלד מוציא 100$ בחודש על ציוד בייסבול. העונה שלו נמשכת 4 חודשים. הוא רוצה להשתמש בחודשים שבהם הוא לא משחק בייסבול כדי לחסוך כסף על ידי גירוף עלים, פינוי שלג וכיסוח דשא. הוא גובה 10$ עבור כל עבודה. כמה עבודות בית הוא צריך לבצע בממוצע בחודש כדי לחסוך לציוד שלו?</question>
<answer>העלות הכוללת של הציוד לעונה היא 100$ * 4 חודשים = $<<100*4=400>>400.ישנם 12 - 4 = <<12-4=8>>8 חודשים שבהם הוא לא משחק בייסבול.הוא צריך לחסוך 400$ בחודשים אלה.מכיוון שהוא גובה 10$ עבור כל עבודה, הוא צריך לבצע 400 / 10 = <<400/10=40>>40 עבודות בסך הכל.כדי למצוא את הממוצע החודשי, נחלק את מספר העבודות הכולל במספר החודשים שבהם הוא חוסך: 40 עבודות / 8 חודשים = <<40/8=5>>5 עבודות בחודש.#### 5</answer>","<question>ג'רלד מוציא 100$ בחודש על ציוד בייסבול. העונה שלו נמשכת 4 חודשים. הוא רוצה לנצל את החודשים שבהם הוא לא משחק בייסבול כדי לחסוך כסף על ידי גירוף עלים, פינוי שלג וכיסוח דשא. הוא גובה 10$ עבור כל עבודה. כמה עבודות הוא צריך לבצע בממוצע בחודש כדי לחסוך לציוד שלו?</question>
<answer>הוא צריך לחסוך 400$ כי 4 × 100 = <<4*100=400>>400
יש לו 8 חודשים להרוויח את הכסף הזה כי 12 - 4 = <<12-4=8>>8
הוא צריך להרוויח 50$ בחודש כי 400 / 8 = <<400/8=50>>50
הוא צריך לבצע 5 משימות בחודש כי 50 / 10 = <<50/10=5>>5
#### 5</answer>",,
